conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,coordinates,latitude,longitude
1.79e+18,Fri May 03 03:43:56 +0000 2024,7,Hakim Mahkamah Konstitusi Arief Hidayat ngegas dengan sikap para petinggi KPU RI yang tidak hadir dalam sidang perselisihan hasil pemilihan umum Pileg 2024 kemarin(02/05/2024). Arief menyebut KPU sejak sengketa pilpres tidak serius menanggapi persoalan gugatan di Mahkamah https://t.co/aTUJuHBqJk,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1786240192581652480/pu/img/CG_CegY57_1iAlst.jpg,,in,,0,1,1,https://x.com/Metro_TV/status/1786240247359222051,57261519.0,Metro_TV,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Tue Apr 23 07:52:51 +0000 2024,0,Prabowo Subianto memberikan tanggapan terhadap hasil persidangan gugatan sengketa pilpres di MK yang diumumkan pada Senin 22 April 2024. https://t.co/MAikrlAmNf #suaramerdeka #suaramerdekacom #promedia #putusanmk #prabowosubianto #fokus #persiapkan #indonesia #masadepan https://t.co/VKiQ91S8yY,1.78e+18,https://pbs.twimg.com/media/GL1Y8awbIAAdVgq.jpg,,in,indonesia,0,0,0,https://x.com/suaramerdeka/status/1782679010935517598,219527452.0,suaramerdeka,"(-2.4833826, 117.8902853)",-2.4833826,117.8902853
1.78e+18,Wed Apr 24 11:30:00 +0000 2024,0,Presiden RI terpilih Prabowo Subianto mengatakan bahwa dirinya mengetahui makna senyuman pasangan AMIN pada acara penetapan capres-cawapres terpilih hasil Pilpres 2024 di Kantor KPU. Mau tau penjelasan lengkapnya dari Pak Prabowo? Yuk tonton videonya! #PrabowoSubianto #AMIN https://t.co/KSXIMBgQhZ,1.78e+18,https://pbs.twimg.com/ext_tw_video_thumb/1783069848647725056/pu/img/mO9n3bcbhY5o2Vhi.jpg,,in,DKI Jakarta,0,0,0,https://x.com/faktacom_/status/1783096045913657596,1.66e+18,faktacom_,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.79e+18,Sat May 25 02:12:15 +0000 2024,0,Ketua Umum Partai Demokrasi Indonesia Perjuangan atau PDI-P Megawati Soekarnoputri singgung penyelenggaraan Pemilihan Presiden (Pilpres) 2024 lalu. Menurutnya pertanyaan masyarakat terkait pelaksanaan dan hasil Pilpres harus ditanyakan ke pembuat TSM . #PDIP #Megawati #Jokowi https://t.co/6Tq2IJH9C2,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1794189228366241792/pu/img/Ng1Lz3dtL_QtyNG9.jpg,,in,Indonesia,0,0,0,https://x.com/lensaRTV/status/1794189709255848447,2393930923.0,lensaRTV,"(-2.4833826, 117.8902853)",-2.4833826,117.8902853
1.79e+18,Mon May 06 04:46:33 +0000 2024,0,Presiden terpilih hasil Pemilu Presiden (Pilpres) 2024 Prabowo Subianto berkeinginan mendirikan forum bernama presidential club. | #PresidentialClub #Prabowo https://t.co/TSUZBsfSsw,1.79e+18,https://pbs.twimg.com/media/GM3qfgkbEAAD77T.jpg,,in,Jakarta,0,2,0,https://x.com/kompascom/status/1787343171070124137,23343960.0,kompascom,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.76e+18,Wed Feb 14 12:37:27 +0000 2024,6362,Hasil quick count Pileg 2024 dari beberapa lembaga. PDIP boleh babak belur di Pilpres tapi mereka yang tertinggi di Pileg sejauh ini. Syarat lolos DPR : 4% https://t.co/wTPsuQRhzF,1.76e+18,https://pbs.twimg.com/media/GGTEi4eaQAAmmKB.jpg,,in,,580,788,654,https://x.com/idextratime/status/1757745871738028280,1.22e+18,idextratime,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Thu Apr 25 10:57:29 +0000 2024,3,Presiden terpilih hasil Pilpres 2024 Prabowo Subianto menyatakan telah sepakat dengan Ketua Umum NasDem Surya Paloh untuk bekerja sama. Prabowo menyampaikan itu usai bertemu Surya Paloh dan jajaran elite NasDem pada Kamis (25/4). Kita sepakat bahwa kita akan kerja sama untuk https://t.co/DEdXR6DVXW,1.78e+18,https://pbs.twimg.com/ext_tw_video_thumb/1783450074997198848/pu/img/1JvnzR33B2TcuFLU.jpg,,in,"DKI Jakarta, Indonesia",0,0,1,https://x.com/dekade_08/status/1783450250029764873,1.58e+18,dekade_08,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.78e+18,Tue Apr 23 07:56:54 +0000 2024,590,YLBHI menilai bahwa putusan akhir MK terkait Pilpres (Perselisihan Hasil Pemilihan Umum) yang tidak menemukan adanya fakta hukum kecurangan pemilu 2024 adalah bukti nyata kegagalan MK sebagai penjaga kedaulatan rakyat dan konstitusi. Meskipun terdapat Dissenting Opinion tiga https://t.co/OtOyX9hkNh,1.78e+18,https://pbs.twimg.com/media/GL1aCRUa4AAOGLb.jpg,,in,Jakarta Capital Region,9,17,263,https://x.com/YLBHI/status/1782680031560655013,222346474.0,YLBHI,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.78e+18,Thu Apr 25 12:21:40 +0000 2024,11,Sejumlah Elit PKS hadir di DPP PKB dalam rangka silaturahmi balasan pada hari Kamis (25/04) pasca penetapan hasil pilpres 2024. Ard #BeritaElshinta https://t.co/Apl2HoPgQD,1.78e+18,https://pbs.twimg.com/ext_tw_video_thumb/1783470997934620672/pu/img/3xaS606KGZb9N0_i.jpg,,in,,0,4,4,https://x.com/RadioElshinta/status/1783471437766107513,121640063.0,RadioElshinta,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Tue Apr 23 08:09:39 +0000 2024,26,Sebenarnya sdh dr awal @prabowo @gibran_tweet mengajak smua lawan2nya utk bersatu stlah hasil pilpres diumumkan. Cuma memang baik Anies &amp; Ganjar tdk bs menerima kekalahan. Nah kan sekarang sudah kalah tuh di MK sudah seharusnya kan sekarang bersatu.. :D https://t.co/kc42MKzRWp https://t.co/SJpAwONqUJ,1.78e+18,https://pbs.twimg.com/media/GL1c9B3aYAAEvQm.jpg,,in,,0,7,24,https://x.com/gvfftj/status/1782683238936592525,2202985642.0,gvfftj,"(46.3144754, 11.0480288)",46.3144754,11.0480288
